#Date/Time;of;Update:;2017-11-20;3:07:27;PM;#Player;ID;#LastName;#FirstName;#Jersey;Num;#Position;#Height;#Weight;#Birth;Date;#Age;#Birth;City;#Birth;Country;#Rookie;#Team;ID;#Team;Abbr.;#Team;City;#Team;Name
;10138;Abrines;Alex;8;F;"6'6""";190;1993-08-01;24;Palma;de;Mallorca;Spain;N;96;OKL;Oklahoma;City;Thunder;;;;;;;;;;;
;9466;Acy;Quincy;4;PF;"6'7""";240;1990-10-06;27;Tyler, TX;USA;N;84;BRO;Brooklyn;Nets;;;;;;;;;;;;;;
;9390;Adams;Steven;12;C;"7'0""";255;1993-07-20;24;Rotorua;NewZealand;N;96;OKL;Oklahoma;City;Thunder;;;;;;;;;;;;;
;13742;Adebayo;Bam;13;C;"6'10""";255;1997-07-18;20;;;Y;92;MIA;Miami;Heat;;;;;;;;;;;;;;
;9375;Afflalo;Arron;40;SG;"6'5""";215;1985-10-15;32;Los Angeles, CA;USA;N;95;ORL;Orlando;Magic;;;;;;;;;;;;;;
;9357;Ajinca;Alexis;42;C;"7'2""";248;1988-05-06;29;Saint-Étienne;France;N;110;NOP;New;Orleans;Pelicans;;;;;;;;;;;;;
;9272;Aldrich;Cole;45;C;"6'11""";245;1988-10-31;29;Burnsville, MN;USA;N;100;MIN;Minnesota;Timberwolves;;;;;;;;;;;;;;
;9480;Aldridge;LaMarcus;12;PF;"6'11""";240;1985-07-19;32;Dallas, TX;USA;N;106;SAS;San;Antonio;Spurs;;;;;;;;;;;;;
;9454;Alexander;Cliff;34;PF;"6'8""";245;1995-11-15;22;Chicago, IL;USA;N;95;ORL;Orlando;Magic;;;;;;;;;;;;;;
;13749;Allen;Jarrett;31;C;"6'11""";234;1998-04-21;19;;;Y;84;BRO;Brooklyn;Nets;;;;;;;;;;;;;;
;13776;Allen;Kadeem;45;SG;"6'3""";200;1993-01-15;24;;;Y;82;BOS;Boston;Celtics;;;;;;;;;;;;;;
;9254;Allen;Lavoy;5;PF;"6'9""";255;1989-02-04;28;;;N;87;IND;Indiana;Pacers;;;;;;;;;;;;;;
;9299;Allen;Tony;9;SG;"6'4""";213;1982-01-10;35;Chicago, IL;USA;N;110;NOP;New;Orleans;Pelicans;;;;;;;;;;;;;
;9452;Aminu;Al-Farouq;8;SF;"6'9""";215;1990-09-21;27;Atlanta, GA;USA;N;97;POR;Portland;Trail;Blazers;;;;;;;;;;;;;
;9297;Andersen;Chris;7;C;"6'10""";245;1978-07-05;39;Lola, TX;USA;N;86;CLE;Cleveland;Cavaliers;;;;;;;;;;;;;;
;9475;Anderson;Kyle;1;SF;"6'9""";230;1993-09-20;24;New York, NY;USA;N;106;SAS;San;Antonio;Spurs;;;;;;;;;;;;;
;9527;Anderson;Alan;26;SG;"6'6""";220;1982-10-15;35;Minneapolis, MN;USA;N;102;LAC;Los;Angeles;Clippers;;;;;;;;;;;;;
;9469;Anderson;James;5;SG;"6'6""";213;1989-03-25;28;El Dorado, AR;USA;N;103;SAC;Sacramento;Kings;;;;;;;;;;;;;;
;9178;Anderson;Justin;1;SF;"6'6""";228;1993-11-18;24;Montross, VA;USA;N;85;PHI;Philadelphia;76ers;;;;;;;;;;;;;;
;9353;Anderson;Ryan;36;PF;"6'10""";240;1988-05-06;29;Sacramento, CA;USA;N;109;HOU;Houston;Rockets;;;;;;;;;;;;;;
;13796;Anigbogu;Ike;13;C;"6'10""";262;1998-10-22;19;San Diego, CA;USA;Y;87;IND;Indiana;Pacers;;;;;;;;;;;;;;
;9560;Antetokounmpo;Thanasis;43;SF;"6'7""";205;1992-07-18;25;Rost;Greece;N;83;NYK;New;York;Knicks;;;;;;;;;;;;;
;9325;Antetokounmpo;Giannis;34;PG;"6'11""";222;1994-12-06;22;Athens;Greece;N;90;MIL;Milwaukee;Bucks;;;;;;;;;;;;;;
;9369;Anthony;Carmelo;7;SF;"6'8""";240;1984-05-28;33;Brooklyn, NY;USA;N;96;OKL;Oklahoma;City;Thunder;;;;;;;;;;;;;
;9214;Anthony;Joel;50;C;"6'9""";245;1982-08-08;35;Montreal, QC;Canada;N;90;MIL;Milwaukee;Bucks;;;;;;;;;;;;;;
;13750;Anunoby;OG;3;F;"6'8""";235;1997-07-17;20;;;Y;81;TOR;Toronto;Raptors;;;;;;;;;;;;;;
;11884;Arcidiacono;Ryan;10;G;"6'3""";195;1994-03-25;23;Villanova;USA;Y;89;CHI;Chicago;Bulls;;;;;;;;;;;;;;
;9235;Ariza;Trevor;1;SF;"6'8""";215;1985-06-30;32;;;N;109;HOU;Houston;Rockets;;;;;;;;;;;;;;
;9198;Arthur;Darrell;0;PF;"6'9""";235;1988-03-25;29;;;N;99;DEN;Denver;Nuggets;;;;;;;;;;;;;;
;13805;Artis;Jamiel;;SG;"6'7""";213;1993-01-12;24;Baltimore, MD;USA;Y;95;ORL;Orlando;Magic;;;;;;;;;;;;;;
;13854;Ashley;Brandon;21;F;"6'9""";230;1994-07-15;23;San Francisco, CA;USA;Y;108;DAL;Dallas;Mavericks;;;;;;;;;;;;;;
;9358;Asik;Omer;3;C;"7'0""";255;1986-07-04;31;;;N;110;NOP;New;Orleans;Pelicans;;;;;;;;;;;;;
;9190;Augustin;D.J.;12;PG;"6'0""";183;1987-11-10;30;New Orleans, LA;USA;N;95;ORL;Orlando;Magic;;;;;;;;;;;;;;
;9276;Ayres;Jeff;19;C;"6'9""";240;1987-04-27;30;Ontario, CA;USA;N;102;LAC;Los;Angeles;Clippers;;;;;;;;;;;;;
;9360;Babbitt;Luke;5;SF;"6'9""";217;1989-06-19;28;Cincinnati, OH;USA;N;91;ATL;Atlanta;Hawks;;;;;;;;;;;;;;
